session_swing,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz
125_2,252.6376,-196.3296,191.2219,-72.3966,956.1379,-15.3125,47.5722,-925.4221,217.6259,-484.2301,2032.2178,-14.9287,448.9672,263.61850000000004,971.4504,972.9943,701.856,2047.1464999999998
125_3,255.6902,-219.679,219.8862,-85.3417,957.3431,-23.8276,49.065,-949.8971,210.8011,-423.4313,2114.0638,-13.4294,475.3692,305.2279,981.1707,998.9621,634.2324,2127.4932
125_4,250.2998,-240.7253,202.0607,-47.5999,935.3833,-20.4095,38.6521,-792.5128,177.5381,-423.3926,1854.5985,-11.6214,491.0251,249.6606,955.7927999999999,831.1649,600.9307,1866.2199
125_5,257.3077,-162.574,195.3091,-84.2867,923.8515,-9.6654,53.6184,-975.784,248.5096,-477.8707,2199.3772,-12.8631,419.8817,279.5958,933.5169,1029.4024,726.3803,2212.2403
125_6,273.906,-175.0319,203.717,-102.9529,928.1062,-15.6963,56.172,-983.1568,232.2458,-351.8969,1855.794,-6.5664,448.9379,306.6699,943.8024999999999,1039.3288,584.1427,1862.3604
125_7,284.2711,-143.568,178.9294,-117.9684,994.9063,-5.6089,29.5055,-1042.0257,227.0859,-391.6176,1922.5851,-13.7303,427.83910000000003,296.89779999999996,1000.5151999999999,1071.5312,618.7035,1936.3154
140_1,175.5222,-134.6653,166.6959,-75.3416,928.6573,25.3629,123.9162,-665.1472,328.9518,-297.8105,1649.6072,-8.4847,310.1875,242.0375,903.2944,789.0634,626.7623,1658.0919
140_2,142.5648,-167.7816,173.2745,-120.6527,966.1643,89.3925,95.7947,-618.4331,291.3461,-277.1562,1485.535,-10.0693,310.3464,293.92719999999997,876.7718,714.2278,568.5023,1495.6043000000002
140_3,155.4341,-168.6886,155.7034,-91.1811,964.865,21.0593,154.4468,-704.3477,269.0846,-271.5018,1588.4648,-11.8188,324.1227,246.8845,943.8057,858.7945,540.5864,1600.2836
140_4,136.1105,-171.1609,169.8762,-89.9719,943.7649,37.7375,131.5964,-663.427,282.9122,-262.8344,1560.1048,-14.3791,307.27139999999997,259.84810000000004,906.0274000000001,795.0234,545.7466,1574.4839000000002
140_5,144.2973,-138.8809,184.6,-155.9872,908.409,32.7193,65.868,-655.0754,251.468,-223.0262,1493.1035,-5.6198,283.1782,340.5872,875.6897,720.9433999999999,474.4942,1498.7232999999999
140_6,176.4366,-176.9649,163.9342,-95.2508,947.6067,28.2466,121.2386,-661.1297,198.718,-244.6284,1576.6855,-8.394,353.4015,259.185,919.3601000000001,782.3683,443.3464,1585.0795
140_7,151.7589,-160.0939,138.4115,-115.0965,943.8468,39.2129,146.2123,-715.0561,412.5972,-312.9013,1621.9051,-6.0737,311.8528,253.50799999999998,904.6339,861.2684,725.4984999999999,1627.9787999999999
140_8,173.5961,-180.5123,135.7001,-92.3147,911.6594,31.0089,171.7383,-782.2292,476.0379,-239.6999,1806.7583,-7.3702,354.1084,228.01479999999998,880.6505,953.9675,715.7378,1814.1285
160_1,159.0426,-115.4483,133.1347,-98.4513,683.7657,46.8309,42.1239,-300.6444,106.1215,-213.9612,807.6382,4.5877,274.4909,231.586,636.9348,342.7683,320.0827,803.0504999999999
160_2,159.5965,-133.6684,99.7894,-95.2752,707.8478,22.1446,52.2858,-310.4965,70.7123,-198.6021,882.8024,-0.1905,293.2649,195.06459999999998,685.7032,362.7823,269.3144,882.9929000000001
160_3,181.0882,-121.0326,113.5879,-78.8988,686.7927,33.9072,42.8755,-278.9209,75.3637,-146.7287,799.8285,4.775,302.12080000000003,192.48669999999998,652.8855,321.7964,222.0924,795.0535
160_4,152.3523,-159.593,114.7455,-102.4932,685.5397,49.5745,54.6027,-286.3952,88.6622,-202.4586,789.9859,1.2928,311.9453,217.2387,635.9652000000001,340.99789999999996,291.1208,788.6931
160_5,151.4881,-134.9689,122.4854,-102.1682,692.4632,27.8006,46.9088,-325.802,110.226,-157.7457,854.5211,2.6353,286.457,224.65359999999998,664.6626,372.7108,267.9717,851.8858
160_6,174.0618,-157.9157,98.2363,-46.6597,697.9888,23.1425,55.2184,-281.9377,65.7098,-193.3847,830.7325,2.2777,331.97749999999996,144.89600000000002,674.8462999999999,337.15610000000004,259.09450000000004,828.4548
160_7,171.3642,-177.0288,115.4711,-83.5944,706.2211,5.0141,51.1366,-401.2563,141.4824,-164.6196,872.3904,0.2181,348.39300000000003,199.0655,701.207,452.3929,306.102,872.1723
160_8,133.5018,-164.5265,128.051,-73.5588,723.6502,6.4229,43.8342,-317.8183,118.1044,-184.9439,837.2753,2.633,298.0283,201.6098,717.2273,361.65250000000003,303.04830000000004,834.6423
164_1,272.89,-138.0166,226.4775,-101.817,1003.0819,-3.3712,114.6589,-1105.4629,211.3428,-723.5433,2459.7947,-16.4014,410.9066,328.29449999999997,1006.4531000000001,1220.1218,934.8861,2476.1961
164_2,264.1882,-141.0906,290.3189,-125.8715,985.4493,-1.8404,146.6485,-920.5513,133.0485,-772.346,2005.2767,-17.7444,405.2788,416.19039999999995,987.2897,1067.1997999999999,905.3945,2023.0211
164_3,261.4869,-112.5139,247.3344,-101.4846,973.6782,-2.7882,210.1741,-1096.2934,190.7652,-678.5067,2417.5757,-24.602,374.0008,348.81899999999996,976.4663999999999,1306.4675,869.2719,2442.1776999999997
164_4,253.1897,-104.6379,289.2056,-88.9952,982.1017,-5.9568,184.329,-1170.286,178.799,-711.4736,2594.4547,-17.1758,357.82759999999996,378.2008,988.0585000000001,1354.615,890.2726,2611.6304999999998
164_5,272.3386,-153.6515,242.2194,-111.3642,1000.0305,-29.0005,267.3948,-1218.1696,151.9482,-693.4547,2568.3611,-31.5903,425.9901,353.5836,1029.031,1485.5644,845.4029,2599.9514
164_6,253.1787,-83.2126,304.5478,-140.584,1037.7387,-4.2655,200.9058,-902.3739,182.5513,-659.7993,1943.4006,-15.1634,336.3913,445.1318,1042.0042,1103.2797,842.3506,1958.5639999999999
164_7,280.4631,-117.3498,285.1103,-117.1568,992.1456,-3.092,182.2243,-1159.7015,196.1285,-703.8648,2445.6965,-25.5204,397.8129,402.2671,995.2375999999999,1341.9258,899.9933,2471.2169
164_8,465.7738,-146.0726,239.3424,-49.7121,983.0416,-9.6805,292.2331,-1180.9001,192.7165,-676.6529,2554.9767,-15.1585,611.8464,289.0545,992.7221000000001,1473.1332,869.3694,2570.1352
164_9,297.6235,-208.2055,204.4467,-62.3225,973.6958,-36.2541,275.7496,-1269.5733,160.0885,-669.7048,2825.4385,-11.8539,505.82899999999995,266.7692,1009.9499,1545.3229000000001,829.7933,2837.2924000000003
167_1,143.336,-242.5768,247.4888,-90.8046,893.2869,171.5554,154.9046,-616.3196,143.7105,-370.8068,1947.3321,-4.1008,385.9128,338.2934,721.7315,771.2242,514.5173,1951.4329
167_2,131.3882,-291.1315,236.0291,-129.3689,894.609,150.4755,191.0272,-732.0391,170.8636,-381.9858,2062.1136,-6.1783,422.51970000000006,365.398,744.1335,923.0663,552.8494,2068.2919
167_3,106.0063,-282.7548,200.4483,-89.1408,815.1168,75.2413,226.2393,-745.8362,145.2193,-387.0629,1999.3752,-4.6561,388.7611,289.5891,739.8755,972.0754999999999,532.2822,2004.0312999999999
167_4,103.9791,-295.6797,193.2514,-89.9121,854.7502,103.1614,229.3736,-804.6739,158.2376,-390.928,2155.7359,-6.3327,399.65880000000004,283.1635,751.5888,1034.0475000000001,549.1656,2162.0686
167_5,107.6973,-294.7278,187.056,-117.1017,913.0568,102.2295,241.1094,-864.1782,149.3829,-370.7998,2164.3056,-3.8551,402.4251,304.1577,810.8272999999999,1105.2875999999999,520.1827000000001,2168.1607000000004
167_6,102.0677,-283.8095,193.112,-100.3849,866.7763,83.009,209.3445,-808.2466,163.0809,-356.6194,2215.9968,-5.3279,385.8772,293.4969,783.7673,1017.5911,519.7003,2221.3247
167_7,112.7844,-292.6571,239.3626,-108.7039,901.4294,98.5359,240.8559,-734.4289,151.2078,-390.6442,2098.2737,-2.7946,405.4415,348.0665,802.8935,975.2848,541.852,2101.0683000000004
167_8,99.5535,-298.3142,208.9755,-114.6375,924.9175,104.193,220.5077,-752.4764,155.7217,-402.1704,2275.216,-3.2831,397.8677,323.613,820.7245,972.9841,557.8921,2278.4991
174_1,216.6742,-129.2306,232.7063,-123.3694,764.647,-3.0595,142.6124,-446.8714,157.4902,-348.1525,1073.1715,0.5135,345.9048,356.0757,767.7065,589.4838,505.6427,1072.658
174_2,221.5758,-82.5514,258.8089,-82.8416,786.8442,5.4327,108.1573,-509.0701,154.7667,-384.7062,1315.571,-8.1502,304.1272,341.65049999999997,781.4115,617.2274,539.4729,1323.7212
174_3,218.4082,-121.2735,238.5648,-50.6533,763.6012,1.7358,125.2372,-463.6441,133.8117,-375.0627,1105.6741,-2.7749,339.6817,289.2181,761.8653999999999,588.8813,508.87440000000004,1108.4489999999998
174_4,219.9992,37.734,10.8636,-7.8338,788.16010000000006,248.9603,109.4534,-484.7735,174.7547,-359.5474,1122.0687,-0.21560000000000001,182.2652,18.697400000000002,539.1998000000001,594.2269,534.3021,1122.2843
174_5,209.855,-78.7925,226.9735,-56.154,752.5191,11.1003,62.1542,-435.4133,112.9184,-432.2457,1249.5317,-13.2538,288.6475,283.1275,741.4188,497.5675,545.1641,1262.7855
174_6,212.2662,-73.1367,263.074,-47.9481,749.0753,36.4571,53.0979,-391.9116,89.4813,-394.1634,1118.9966,-7.683,285.4029,311.0221,712.6182,445.0095,483.64470000000006,1126.6796
174_7,220.6081,-88.2004,220.656,-41.5422,759.1114,21.8119,121.6349,-453.8777,166.0936,-391.2251,1168.7628,0.471,308.8085,262.1982,737.2995,575.5126,557.3187,1168.2918
174_8,232.6201,-76.5546,210.2324,-61.8466,794.7929,12.1989,128.495,-548.9631,142.7689,-371.4342,1426.8843,-3.4325,309.17470000000003,272.079,782.594,677.4581000000001,514.2031,1430.3167999999998
178_1,171.3424,-201.9454,222.2325,-64.742,745.1869,124.0719,128.8797,-552.5109,168.9573,-223.7709,1455.2454,-1.5501,373.2878,286.9745,621.115,681.3906,392.7282,1456.7955
178_2,141.3458,-216.1232,167.2354,-35.1967,754.6851,99.5319,164.2675,-485.0143,209.5648,-242.6677,1366.4876,-2.0918,357.469,202.4321,655.1532000000001,649.2818,452.23249999999996,1368.5793999999999
178_3,202.4601,-171.921,202.095,-50.5013,739.9514,97.8377,97.7942,-555.6561,171.6096,-283.6893,1380.3885,-2.8763,374.3811,252.59629999999999,642.1137,653.4503000000001,455.2989,1383.2648
178_4,193.3293,-172.9027,196.7934,-52.8838,899.1583,77.2617,76.6268,-606.3739,161.6669,-335.247,1490.0519,-6.7088,366.23199999999997,249.6772,821.8966,683.0007,496.9139,1496.7607
178_5,252.9471,-143.2725,201.124,-29.9178,751.1003,45.9124,149.7576,-476.2162,287.6634,-229.2978,1385.3284,-1.397,396.2196,231.0418,705.1878999999999,625.9738,516.9612,1386.7254
178_6,178.5072,-148.3492,167.738,-42.5554,756.4373,91.0814,134.5133,-620.5961,81.8532,-273.2297,1628.3034,-2.2991,326.8564,210.2934,665.3559,755.1093999999999,355.0829,1630.6025
178_7,213.9167,-155.994,210.8449,-96.9745,751.2276,81.9806,116.7831,-526.2098,351.7277,-377.9963,1404.2377,-2.5727,369.9107,307.8194,669.2470000000001,642.9929,729.724,1406.8103999999998
178_8,223.4287,-137.1853,198.606,-30.5724,752.1507,64.7805,154.2951,-442.5318,283.0003,-301.4826,1343.2109,-1.8723,360.61400000000003,229.17839999999998,687.3702000000001,596.8269,584.4829,1345.0832
179_1,289.1444,-80.5572,243.5746,-70.9762,916.4903,-9.4345,160.3349,-711.5416,194.8711,-427.5562,1932.0498,0.6261,369.7016,314.5508,925.9248,871.8765000000001,622.4273000000001,1931.4237
