session_swing,range_lead_hip_x,range_lead_hip_y,range_lead_hip_z,range_lead_shoulder_x,range_lead_shoulder_y,range_lead_shoulder_z,range_pelvis_x,range_pelvis_y,range_pelvis_z,range_rear_hip_x,range_rear_hip_y,range_rear_hip_z,range_rear_shoulder_x,range_rear_shoulder_y,range_rear_shoulder_z,range_torso_x,range_torso_y,range_torso_z,range_torso_pelvis_x,range_torso_pelvis_y,range_torso_pelvis_z,max_lead_hip_y,max_lead_hip_z,max_lead_shoulder_x,max_lead_shoulder_y,max_lead_shoulder_z,max_pelvis_x,max_pelvis_y,max_pelvis_z,max_rear_hip_x,max_rear_hip_y,max_rear_hip_z,max_rear_shoulder_x,max_rear_shoulder_y,max_rear_shoulder_z,max_torso_x,max_torso_y,max_torso_z,max_torso_pelvis_x,max_torso_pelvis_y,max_torso_pelvis_z,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz,bat_speed_mph_max_x
111_8,778.6592,686.4297,556.2201,915.807,640.4498,1356.1286,348.1732,262.9172,960.9830000000001,862.8106,471.41639999999995,677.9317,975.1683,1247.1024,2927.8347000000003,174.1637,223.0883,876.3543,191.4722,404.5686,503.9044,177.103,316.5876,489.1537,456.8666,131.7092,214.8227,74.9427,753.7675,181.1658,186.4917,369.0583,503.0156,640.4702,947.3931,43.109,201.0293,801.6196,116.0755,324.4276,339.7353,158.774,-76.3899,194.5634,-61.1209,795.8888,105.3585,52.8723,-594.2249,113.7937,-415.0279,1768.4195,0.8769,235.1639,255.6843,690.5302999999999,647.0972,528.8216,1767.5426,64.8073
121_1,787.9435,484.3698,767.0223,930.9919,540.8229,852.6315,313.054,286.38739999999996,802.4916,536.4258,294.4771,634.8675,890.1646000000001,598.8077000000001,1611.8954,340.7797,276.113,1229.3328000000001,251.0397,387.90840000000003,484.108,93.3823,286.9187,270.4388,302.1703,619.3287,188.2492,104.6839,754.8991,70.6081,121.8912,190.6652,546.0402,442.9015,1086.2224,228.2711,201.6381,1023.4297,140.3026,301.7533,284.0312,208.3153,-244.2614,181.463,-181.1716,838.2469,-22.9197,66.8782,-608.276,165.3948,-359.5731,1724.8564,-6.2715,452.5767,362.6346,861.1666,675.1542,524.9679,1731.1279,69.4883
121_2,846.4537,511.442,768.1791999999999,995.6903,703.6209,1018.4029,310.8598,307.4454,859.101,458.078,347.002,843.4985,872.7511999999999,519.1767,1739.9416,266.49559999999997,293.7475,1081.3925,394.3931,454.6089,486.5498,106.4216,194.3312,255.9894,314.174,770.0887,201.3404,106.0913,679.8098,134.5157,95.168,290.7581,530.7016,400.9949,1162.8304,188.5668,243.5198,991.0215,180.8663,326.7692,299.3324,187.9673,-227.4632,190.0212,-148.254,837.7587,-3.6092,161.456,-716.5947,222.8866,-307.6357,1851.7723,-3.7178,415.4305,338.2752,841.3679,878.0507,530.5223,1855.4901,66.8883
121_3,877.1497,513.5609000000001,822.2246,1011.6848,625.421,921.3711,324.08529999999996,312.4804,822.0187,648.8744,326.5719,501.69780000000003,812.4944,607.3341,1933.962,257.6422,289.91200000000003,1183.5161,185.5932,510.7557,607.8951,112.8273,194.4197,260.6244,315.7091,684.4905,191.2192,116.7307,747.8397,160.2898,129.888,123.9514,469.5363,459.7965,1363.6847,150.9155,198.5677,950.072,105.4622,363.5252,376.0334,177.6305,-183.0945,204.4531,-83.3925,841.7614,8.5197,199.5402,-741.278,212.6198,-371.5318,1936.1956,-8.9632,360.725,287.8456,833.2417,940.8182,584.1515999999999,1945.1588,67.3292
121_4,865.9259,526.8125,674.1727,1011.4164,749.3592,751.2860000000001,330.7537,289.3931,916.4939,510.0962,320.03729999999996,657.1655000000001,784.6657,594.1381,1460.022,335.0804,300.6134,1297.0083,308.0821,502.5377,534.6379000000001,130.7491,230.3944,280.731,302.8161,521.9841,207.3104,79.6332,757.3445,58.3494,140.951,205.0679,434.1587,420.5645,879.2538,224.6081,206.6239,1042.5479,183.6724,352.6028,280.9734,187.894,-233.6526,171.5576,-159.2058,836.4335,-11.0246,132.9731,-696.3962,167.7123,-365.7275,1914.7376,-11.7814,421.5466,330.76340000000005,847.4581,829.3693000000001,533.4398,1926.519,70.4725
121_5,794.3688,556.9547,773.4296999999999,808.1323,733.6862,1258.0777,267.98400000000004,341.3726,759.9412,579.2318,348.5958,453.49469999999997,974.2547999999999,714.0175,1412.969,253.4756,290.9538,1019.5871000000001,367.051,460.5802,598.8163,135.523,231.8748,249.81,412.6155,981.0666,165.9516,160.6888,719.8109,72.5791,147.2398,148.0078,581.3822,518.4269,874.7479,159.2809,181.472,973.0732,208.1101,316.4355,406.7274,197.8479,-208.9319,121.1937,-55.9058,824.9749,-0.5815,68.5004,-633.6783,230.015,-387.7056,1681.9238,-11.0672,406.7798,177.0995,825.5564,702.1787,617.7206,1692.991,70.7974
121_6,805.4886,515.447,745.1268,951.7188000000001,748.8109,1078.8473,272.7124,312.8274,793.6938,583.5945,394.88790000000006,836.6676,1006.4942000000001,730.2122999999999,1609.8142,291.5947,304.2469,1252.4576,344.2846,582.2449,596.1456000000001,113.1417,303.2056,336.2742,311.6484,742.5825,168.6127,114.0051,748.7414,89.525,131.4738,182.0962,552.1266,526.4213,1007.03,204.7172,199.063,1043.7611,163.5985,348.654,384.0351,188.3961,-178.1078,147.1412,-71.9234,848.6343,-0.2303,100.3197,-703.3068,183.4321,-408.1922,1805.2051,-11.9353,366.5039,219.06459999999998,848.8646000000001,803.6265,591.6243,1817.1404,74.103
121_7,881.0806,535.7569,726.4575,1174.2428,692.7323,853.1355,366.68050000000005,293.74670000000003,916.4005,562.1247,451.5649,1193.1536,945.1618,614.2088,1947.212,388.6392,318.06690000000003,1108.6024,350.9266,499.54269999999997,593.557,125.6154,290.3781,394.0544,318.5012,614.5888,236.4815,90.683,793.4343,80.8692,153.3555,234.0536,594.3533,398.6732,1319.4438,256.4913,247.4652,1068.9282,201.8,332.9198,360.6216,175.366,-230.7745,191.2372,-153.2491,840.9803,-4.2405,131.832,-780.1027,233.519,-349.4618,1944.8602,-12.7606,406.1405,344.48630000000003,845.2208,911.9347,582.9808,1957.6208000000001,71.4564
121_8,812.6992,556.9037,717.9018,779.0387999999999,535.8571999999999,988.3566000000001,278.1396,327.0419,804.2585,649.1618000000001,316.89340000000004,1075.1415,810.9575,665.6568,1405.2517,321.75849999999997,299.0568,1062.0772,374.89660000000003,458.76160000000004,487.0076,108.7272,196.2006,208.7995,220.4409,680.7404,170.7296,139.6392,748.0945,116.1158,129.1303,117.1131,441.8502,486.0246,903.73,206.2146,207.256,987.614,197.5069,341.9417,300.6221,179.2215,-200.2739,129.2808,-47.7899,840.5477,0.732,74.8863,-689.497,188.8076,-378.6038,1754.0249,-12.7015,379.4954,177.0707,839.8157,764.3833,567.4114,1766.7263999999998,71.9167
123_1,720.2643,443.9225,860.0249,985.3973,636.0014,906.7387,268.0384,397.6251,964.6762,549.3901000000001,389.83410000000003,534.8634999999999,532.8165,642.2138,1548.2105000000001,204.2766,155.6911,991.0678,197.2491,350.3748,685.5901,43.3878,384.7894,208.3329,202.1454,666.7198,190.6196,167.422,667.0861,69.7833,144.8564,265.9373,301.9515,411.8553,1263.8287,159.4025,122.7041,921.7173,120.7625,223.6134,396.3103,193.0002,-90.1718,127.873,-41.9305,661.0582,-15.737,99.8871,-437.5232,83.8013,-182.4644,1232.9645,0.3567,283.172,169.8035,676.7952,537.4103,266.26570000000004,1232.6078,55.4608
123_2,778.2987,482.0032,791.473,1038.6221,585.8899,956.9367,297.8917,371.1898,893.1995,544.2971,402.4814,514.3293,647.4819,643.3644,1399.0932,209.2386,267.1722,966.2157,267.1695,372.7344,571.5282,47.2317,259.1208,273.8937,200.3887,674.3702,182.0396,145.6935,652.4018,71.688,156.0394,240.9416,414.8941,428.744,1093.0598,162.7705,206.4114,893.4857,142.9369,232.6496,336.7758,178.7671,-100.9816,145.2838,-71.5272,646.6522,-13.0409,110.4519,-418.6784,100.1654,-145.582,1215.6496,2.1783,279.7487,216.811,659.6931,529.1303,245.7474,1213.4713,51.726
123_4,689.4058,401.8378,761.4721,1104.5781,591.7572,939.6462,268.35360000000003,436.63419999999996,954.3755,623.9505,485.67040000000003,426.6206,713.0288,666.1101,1444.9291,262.692,285.5245,1010.0285,381.9521,333.8403,715.5952,68.3995,308.6398,364.5954,188.4587,679.6386,171.1655,193.6401,746.9008,74.4505,205.853,162.4717,458.0507,387.9941,1181.903,182.4183,193.5204,943.4986,226.1015,212.4514,454.4937,189.5086,-124.1575,148.5566,-45.7904,664.9267,-18.7704,90.1478,-431.2535,74.4151,-228.593,1289.9567,3.2694,313.66610000000003,194.347,683.6971,521.4013,303.0081,1286.6873,54.0188
123_5,669.0865,403.3779,667.9301,1045.3157,644.1762,1105.7665,274.3796,386.5028,1013.0864999999999,607.361,460.1563,543.9903,578.6419000000001,654.0728,1266.5058,242.0641,224.9096,1025.6055999999999,296.3926,317.00300000000004,626.3844,38.4057,291.6559,452.569,205.1576,821.7368,196.0123,159.3513,717.2194,75.6984,193.6264,241.0175,302.5247,423.7822,1009.9138,165.1778,139.8307,951.7537,165.9646,235.8685,386.8549,175.4043,-97.0107,157.4081,-63.0018,660.9615,-13.1117,68.373,-425.59,87.6256,-185.0115,1253.5871,2.401,272.415,220.4099,674.0732,493.96299999999997,272.63710000000003,1251.1861,53.9154
123_6,608.896,422.4156,835.2978,969.2176,666.5747,1046.2987,252.64159999999998,410.8977,959.4725,616.4347,455.84889999999996,577.1422,642.178,666.9456,1207.7312,249.02439999999999,293.59180000000003,1035.8583,290.19,374.5541,532.7755,54.8517,380.4082,423.4889,233.9886,754.2204,171.4855,186.604,726.2455,80.6321,168.0425,263.0372,371.3025,427.1929,931.6963,170.2086,162.7706,959.0009,173.7675,254.0215,304.3099,190.3897,-146.3068,148.3543,-39.2712,656.947,-23.9,58.6259,-429.3322,92.5032,-213.6209,1285.803,1.6419,336.6965,187.6255,680.847,487.9581,306.1241,1284.1611,51.3863
123_7,648.8724,449.32230000000004,848.9983,1033.5056,612.1605999999999,801.3439,313.217,376.3544,839.8777,563.9513,708.2625,557.6481,602.1868,582.6278,1323.9903,227.54,188.5004,951.2442,297.66179999999997,322.7283,600.2797,55.7617,334.2291,410.4325,152.4298,677.4924,207.0958,126.033,617.2249,59.3158,463.0716,186.0604,297.1522,410.971,1038.6106,159.8695,120.4562,876.5067,185.7998,245.1957,345.7892,172.8235,-153.4678,142.6998,-70.191,633.4961,-21.4836,42.7819,-387.4382,95.4324,-165.9834,1293.2963,2.4467,326.2913,212.8908,654.9797,430.2201,261.4158,1290.8496,52.732
